abaqus_keyword,manual_pages,abaqus_quantity,ufc_host_type,ufc_field_logical,family_desc_anchor,code_ref,pdfplumber_table_preview
*CONCRETE,"53,443,446,447,448,449,467,474,476,477,478,479,480",tension stiffening / damage vars,MD_Mat_Desc,props(:); pop%nStateV,`Damage/` + `Plast/`,MD_MAT_CATEGORY_DA,
Materialdamping Density Solution-dependent statevariables Thermalexpansion | *DAMPING *DENSITY *DEPVAR *EXPANSION | Elasticity, fabric, hyperelasticity, hyperfoam, low-densityfoam,oranisotropichyperelasticity(except when used with beam or shell general sections or substructures) RequiredinAbaqus/Explicit,exceptforhydrostatic fluidelements"
*HYPOELASTIC,"52,101,102",C_ijkl rate-based moduli,MD_Mat_Desc,props(:),`Elas/` hypo 分支,MD_MAT_CATEGORY_EL,"Behavior | Keyword | Requires
Anisotropichyperelasticity Hypoelasticity(S) Porouselasticity(S) Low-densityfoam(E) | *ANISOTROPICHYPERELASTIC *HYPOELASTIC *POROUSELASTIC *LOWDENSITYFOAM | "
*MOHR COULOMB,"53,379,383,385","φ, c, ψ, …",MD_Mat_Desc + MD_Mat_Mohr_Coulomb_Desc,props(:) or typed Geo Desc,`Geo/PH_MatGeo_MohrCoulomb*`,MD_MatPLG_MohrCoulomb :: MohrCoulomb_MatDesc (文档 MD_Mat_Mohr_Coulomb_Desc),
*PLASTIC,"53,54,155,207,241,242,243,244,245,246,247,249,257,259,260,262,266,288,289,292",yield + hardening parameters,MD_Mat_Desc,props(:); behavior; pop%nStateV,`L3_MD/Material/Plast/*` + `PH_Mat_*_Plast`,MD_Mat_Def.f90 :: PUBLIC MD_Mat_Desc / MD_MAT_CATEGORY_PL,"Behavior | Keyword | Requires
Cyclichardening Inelasticheatfraction Oak Ridge National Laboratoryconstitutive model(S) Porousmaterialfailure criteria(E) Porousmetalplasticity Anisotropicyield/creep Shearfailure(E) Tensioncutoff | *CYCLICHARDENING *INELASTIC HEAT FRACTION *ORNL *POROUS FAILURE CRITERIA *POROUS METAL PLASTICITY *POTENTIAL *SHEARFAILURE *TENSIONCUTOFF | Metalplasticitywithnonlinear isotropic/kinematichardening Metalplasticityandspecificheat Metal plasticity, cycled yield stressdata, and, usually, metal creep Porousmetalplasticity Metalplasticity Metal plasticity, metal creep, Cam-clayplasticity,ortwo-layer viscoplasticity Metalplasticity Mohr-Coulombplasticity"
*SPECIFIC HEAT,"56,247,300,584,587,631,632",c_p,MD_Mat_Desc,props(:),`Thermal/`,—,"Behavior | Keyword | Requires
Thermalconductivity Volumetricheatgeneration(S) Latentheat Specificheat | *CONDUCTIVITY *HEATGENERATION *LATENTHEAT *SPECIFICHEAT | Density Density"
*USER MATERIAL,"51,56,697,699,700,701,705","PROPS, NPROPS, STATEV",MD_Mat_Desc + MD_Mat_UMAT_Intf / MatCtxLegacy,props(:); nProps; nStateV; materialType=USER,`User/` + `PH_UMAT_*`,"MD_Mat_Def.f90 :: PUBLIC MD_MAT_UMAT_Intf (文档 MD_Mat_UMAT_Intf), MatCtxLegacy","Behavior | Keyword | Requires
Thermalconductivity Volumetricheatgeneration(S) Latentheat Specificheat | *CONDUCTIVITY *HEATGENERATION *LATENTHEAT *SPECIFICHEAT | Density Density"
*VISCOELASTIC,"52,54,143,175,182,183,184,185,193,196,197,198,199,207,213,214","Prony / g_i, τ_i / frequency data",MD_Mat_Desc,props(:); pop%nStateV,`Viscoelas/` + `PH_Mat_Visco_*`,MD_MAT_MODEL_VISC,"Behavior | Keyword | Requires
Anisotropichyperelasticity Hypoelasticity(S) Porouselasticity(S) Low-densityfoam(E) | *ANISOTROPICHYPERELASTIC *HYPOELASTIC *POROUSELASTIC *LOWDENSITYFOAM | "
